Full_Text,Title,Artists
"Ya No Más Fer Palacio, DJ Alex, Santiago Saez","Ya No Más Fer Palacio, DJ Alex, Santiago",Saez
"ALGO DEL VACÍO WOS, Manu Oliva","ALGO DEL VACÍO WOS, Manu",Oliva
"Be Kind (with Halsey) Marshmello, Halsey",Be Kind (with Halsey),"Marshmello, Halsey"
Little Submarine - Live Uit Liefde Voor Muziek The Starlings,Little Submarine - Live Uit Liefde Voor Muziek The Starlings,
"Despedida - Ao Vivo Wesley Safadão, Zé Neto & Cristiano","Despedida - Ao Vivo Wesley Safadão, Zé Neto &",Cristiano
Cheirosa - Ao Vivo Jorge & Mateus,Cheirosa - Ao Vivo Jorge & Mateus,
Aí Eu Bebo - Ao Vivo Maiara & Maraisa,Aí Eu Bebo - Ao Vivo Maiara & Maraisa,
3 Batidas - Ao Vivo Guilherme & Benuto,3 Batidas - Ao Vivo Guilherme & Benuto,
Áudio - Ao Vivo em Brasília Diego & Victor Hugo,Áudio - Ao Vivo em Brasília Diego & Victor Hugo,
"Balança (feat. Pedro Sampaio e FP do Trem Bala) WC no Beat, Pedro Sampaio, FP do Trem Bala",Balança (feat. Pedro Sampaio e FP do Trem Bala),"WC no Beat, Pedro Sampaio, FP do Trem Bala"
Relógio Parado (Ao Vivo) Diego & Arnaldo,Relógio Parado (Ao Vivo),Diego & Arnaldo
"Vem Me Satisfazer MC Ingryd, DJ Henrique da VK","Vem Me Satisfazer MC Ingryd, DJ Henrique da",VK
Quem Traiu Levou - Ao Vivo Gusttavo Lima,Quem Traiu Levou - Ao Vivo Gusttavo Lima,
"Lamborghini Galena, Fiki","Lamborghini Galena,",Fiki
"Sunflower - Spider-Man: Into the Spider-Verse Post Malone, Swae Lee","Sunflower - Spider-Man: Into the Spider-Verse Post Malone, Swae",Lee
"Adicto (with Anuel AA & Ozuna) Tainy, Anuel AA, Ozuna",Adicto (with Anuel AA & Ozuna),"Tainy, Anuel AA, Ozuna"
"Min Bror (Josef Og Elias X ICEKIID) Josef Og Elias, ICEKIID",Min Bror (Josef Og Elias X ICEKIID),"Josef Og Elias, ICEKIID"
Ooh Aah Cdeep,Ooh Aah Cdeep,
"Believe Me - Remastered Devo, Janni","Believe Me - Remastered Devo,",Janni
"Parempi yksin - Recorded At Spotify Studios, Stockholm Pyhimys","Parempi yksin - Recorded At Spotify Studios, Stockholm",Pyhimys
Flossin' Big Loso,Flossin' Big Loso,
X Celos Damián V,X Celos Damián V,
"Loveless YNW Jordan, Kolé, Young Fay","Loveless YNW Jordan, Kolé, Young",Fay
Static Interruptions Floating in Space - Project,Static Interruptions Floating in Space - Project,
Lento y Sensual Jt el Utility,Lento y Sensual Jt el Utility,
Booty Windy Guai,Booty Windy Guai,
"Piano Sonata No. 8 in C Minor, Op. 13, ""Pathétique"": II. Adagio cantabile Shunji Itani","Piano Sonata No. 8 in C Minor, Op. 13, ""Pathétique"": II. Adagio cantabile Shunji",Itani
"Emotional MariKuroso, Olivier Decrouille","Emotional MariKuroso, Olivier",Decrouille
"GoGo Shred (feat. Ernie C, Johnny Hiland, Jordan Ziff, Johnny Blade & Oskar Cartaya) Mike Mostert & The GoGo Tuner Family, Ernie C, Johnny Blade, Johnny Hiland, Jordan Ziff, Oskar Cartaya","GoGo Shred (feat. Ernie C, Johnny Hiland, Jordan Ziff, Johnny Blade & Oskar Cartaya)","Mike Mostert & The GoGo Tuner Family, Ernie C, Johnny Blade, Johnny Hiland, Jordan Ziff, Oskar Cartaya"
Rainfall Prince Bishop F,Rainfall Prince Bishop F,
Your Occlusion Unbound From Under Concrete Kings,Your Occlusion Unbound From Under Concrete Kings,
"Luna Dennis Fernando, Leonardo La Croix","Luna Dennis Fernando, Leonardo La",Croix
Destroyer From Under Concrete Kings,Destroyer From Under Concrete Kings,
Advienne que pourra Keyzs-Sean Sparsfa,Advienne que pourra Keyzs-Sean Sparsfa,
Quimica Bogart Bonales,Quimica Bogart Bonales,
