Country,Continent,Rank,Title,Artists,Album,Explicit,Duration,Democracy_Index,Lyrics
Argentina,South America,1,Colocao,Nicki Nicole,Colocao,1,2:59,0.65,"Coloca'o como Drake (Como Drake)
Fumo sólo para quita' el estré' (El estré')
A ese baby ya le hice tre' strike' (Tre' strike')
Todo' quieren montarse en la de Naik (En la de Naik)
Coloca'o como Drake (Como Drake)
Fumo sólo para quita' el estré' (El estré')
A ese baby ya le hice tre' strike (Tre' strike)
Todo' quieren montarse en la de Naik (En la de Naik)

Mambo Counter-Strike, a la cuenta de five
Le apagamo' lo' foco', like business life
Vivimo' holi-die, nada que lamentar
Te miro colocá', a mi vida restart
Todo' quieren estar (Uy)
Los miro mientra' juego Helix Jump, ja (Uy)
Me da hambre y yo como, ñam-ñam (Ey)
Ante' no teníamo' pa' cenar
Ahora estoy arriba de donde están
Pantalla' LED, mi name por toda' parte'
Ninguno va a caer en la peli que te inventaste
Back in the day, intenté avivarte
Una pena que te vendas si se trata de pegarse

Es que estoy coloca'o, en una esquina vira'o
'Tamo ya agoniza'o, con el time atrasa'o
Los bueno' de mi la'o, eso' feka' he olvida'o (-da'o)
Le' cerramo' to' el telón, pero ello' siguen con el show (Uy)

Coloca'o como Drake (Como Drake)
Fumo sólo para quita' el estré' (El estré')
A ese baby ya le hice tre' strike (Tre' strike)
Todo' quieren montarse en la de Naik (En la de Naik)
Coloca'o como Drake (Como Drake)
Fumo sólo para quita' el estré' (El estré')
A ese baby ya le hice tre' strike (Tre' strike)
Todo' quieren montarse en la de Naik (En la de Naik)

Con la mente anestesiá'
Aunque me mate buscando, no voy a encontrar
Sabe', no e' casualida'
Hacer lu' de la fuckin' oscurida'
Poder salirse un rato 'e la realida'
Que lo' malo' tiempo' duren una eternidad
Sa-Sa-Sa-Sa-Sabe, no e' casualida'
Yo te juro que en el party no elegí sonar
Yo te juro que a tu boy no le quise gustar
Yo te juro que la music me trajo hasta acá

Es que estoy coloca'o, en una esquina vira'o
'Tamo ya agoniza'o, con el time atrasa'o
Los bueno' de mi la'o, eso' feka' he olvida'o (-da'o)
Le' cerramo' to' el telón, pero ello' siguen con el show (Uy)

Coloca'o como Drake (Como Drake)
Fumo sólo para quita' el estré' (El estré')
A ese baby ya le hice tre' strike (Tre' strike)
Todo' quieren montarse en la de Naik (En la de Naik)
Y es que estoy coloca'o como Drake (Como Drake)
Fumo sólo para quita' el estré' (El estré')
A ese baby ya le hice tre' strike (Tre' strike)
Todo' quieren montarse en la de Naik (En la de Naik)"
Argentina,South America,2,Favorito,Camilo,Por Primera Vez,0,3:29,0.65,"Camilo, mmm (Yeah)
No sé si te lo han dicho antes
Pero después de haber comido en tanto' restaurantes (Mmm)
Lo' más caro', má' rico', má' finos y más elegantes (Yeah)
Despué' de viajar por los sitio' más extravagantes, descubrí, yeah

Que tu cuerpo e' mi lugar favorito
Y tu boca mi comida favorita
Porque tú ere' lo que yo necesito
Porque yo soy lo que tú necesita'
Que tu cuerpo e' mi lugar favorito
Y tu boca mi comida favorita
Porque tú ere' lo que yo necesito
Porque yo soy lo que tú necesita'

Tú ere' lo que yo, tú ere' lo que yo necesito
(Tú ere' lo que yo necesito)
Yo soy lo que tú, yo soy lo que tú necesitas
Porque tú ere' lo que yo, tú ere lo que yo necesito
(No hay nadie como yo pa' ti)
Yo soy lo que tú, yo soy lo que tú necesita', eh

Tú eres perfecta (Perfecta), sin el 90-60-90
Despué' de al mundo yo darle la vuelta
Te tenía al lado y no me había da'o cuenta
Que tú eres perfecta
Y quiero que me veas como yo te veo
Cuando me vea guapo y cuando me vea feo
Quiero que me quieras como yo te quiero
Como yo te quiero, como yo te quiero
Quiero que exageres como yo exagero
Y no te me rías porque esto es en serio (Muah)
Quiero que me quieras como yo te quiero
Como yo te quiero, como yo te quiero (Mmm)

Que tu cuerpo e' mi lugar favorito
Y tu boca mi comida favorita (Ay, esa tuya)
Porque tú ere' lo que yo necesito
Porque yo soy lo que tú necesita'
Que tu cuerpo e' mi lugar favorito
Y tu boca mi comida favorita
Porque tú ere' lo que yo necesito
Porque yo soy lo que tú necesita'

Tú ere' lo que yo, tú ere' lo que yo necesito
(Tú ere' lo que yo necesito)
Yo soy lo que tú, yo soy lo que tú necesita'
(Tú ere' lo que yo, lo que yo)
Porque tú ere' lo que yo, tú ere lo que yo necesito (Nananana)
Yo soy lo que tú, yo soy lo que tú necesita'

Despué' de viajar por los sitios más extravagantes
Descubrí, yeh (¿Qué cosa?), descubrí, yeh (¿Qué cosa, eh?)

Que tu cuerpo e' mi lugar favorito
Y tu boca mi comida favorita (Ay, esa tuya)
Porque tú ere' lo que yo necesito
Porque yo soy lo que tú necesita'
Que tu cuerpo e' mi lugar favorito
Y tu boca mi comida favorita
Porque tú ere' lo que yo necesito
Porque yo soy lo que tú necesita' (Nada más)

Tú ere' lo que yo, tú ere' lo que yo necesito
(Tú ere' lo que yo necesito)
Yo soy lo que tú, yo soy lo que tú necesita'
Porque tú ere' lo que yo, tú ere lo que yo necesito
(Nananana, narananana)
Yo soy lo que tú, yo soy lo que tú necesita'"
Argentina,South America,3,PORFA,"Feid, Justin Quiles",FERXXO (VOL 1: M.O.R),0,3:52,0.65,"(A ninguna quiero tocar por estar contigo)
Mirándome, preguntando, en mi celu buscándome
Que ya no va más, otros cachos en la cara sacándome
To' los mensajes que has leído con babies que yo he conocido
A ninguna puedo tocar sin pensar que estoy contigo

Te pido porfa, no te vayas, quédate conmigo (Conmigo)
Perdí la cuenta de los días que no te he comido
Me tienes como un loco buscándote, no te consigo (Bebé)
A ninguna quiero tocar por estar contigo
Te pido porfa, no te vayas, quédate conmigo (Conmigo, oh)
Perdí la cuenta de los días que no te he comido
Me tienes como un loco buscándote, no te consigo (Bebé)
A ninguna quiero tocar por estar contigo

(Así como suena, yeah)
Y yo sé que la cagué, no fue una, fueron tres
Y to' lo que te contaron, te contaron al revé'
Lo que hicimos esa noche nunca me lo imaginé
Pero es que estaba muy dura, no fue que me enamoré
Ninguna como tú me droga, sálvame de esta, quítame esta soga
Quiéreme y no mire' la hora, que es una noche loba

Te pido porfa, no te vayas, quédate conmigo (Conmigo, oh)
Perdí la cuenta de los días que no te he comido
Me tienes como un loco buscándote, no te consigo (Bebé)
A ninguna quiero tocar por estar contigo

Te pido porfa, no te vayas, bebé
Que me muero de sed y es a ti que yo quiero virar al revé'
Sé bien que la cagué y las noche' son un fantasma
Ahora me visita el karma
No quiero que pienses que me la paso aún con estas loca'
Yo esa vida la dejé, pensando en ti me pasé de copas
Te llamé, suena el ringtone y no doy contigo
Vino tinto y llegué a tu recinto
Aún recuerdo cuando echábamo' el quinto
Tú tan lejo', ahora todo e' tan distinto

Te pido porfa, no te vayas, quédate conmigo (Conmigo, oh)
Perdí la cuenta de los días que no te he comido
Me tienes como un loco buscándote, no te consigo (Bebé)
A ninguna quiero tocar por estar contigo
Te pido porfa, no te vayas, quédate conmigo
Perdí la cuenta de los días que no te he comido
Me tienes como un loco buscándote, no te consigo
A ninguna quiero tocar por estar contigo

(Te pido porfa, no te vayas, quédate conmigo)
(A ninguna puedo tocar sin pensar que estoy contigo)"
Argentina,South America,4,Yo Perreo Sola,Bad Bunny,YHLQMDLG,0,2:52,0.65,"Ante' tú me pichaba' (Tú me pichaba')
Ahora yo picheo (Hmm, nah)
Antes tú no quería' (No quería')
Ahora yo no quiero (Hmm, no)
Ante' tú me pichaba' (-chaba')
Ahora yo picheo (Jaja)
Antes tú no quería' (Ey)
Ahora yo no quiero
No, tranqui

Yo perreo sola (Hmm, ey)
Yo perreo sola (Perreo sola; jaja; hmm-hmm)
Yo perreo sola (Jaja, hmm; ey)
Yo perreo sola (Perreo sola)
Okay, okay, ey, ey, ey

Que ningún baboso se le pegue (No)
La disco se prende cuando ella llegue (¡Wuh!)
A los hombres los tiene de hobby
Una malcriá' como Nairobi (Jaja)
Y tú la ve' bebiendo de la botella (Ey)
Los nene' y las nena' quieren con ella
Tiene má' de veinte, me enseño la cédula (Ajá)
Ey, del amor e' una incrédula (¡Wuh!)
Ella está soltera antes que se pusiera de moda (Ey)
No cree en amor desde ""Amorfoda"" (No)
El DJ la pone y se las sabe todas
Se trepa en la mesa y que se jodan (Wuh)
En el perreo no se quita (¡No!)
Fuma y se pone bellaquita
Te llama si te necesita
Pero por ahora está solita

Ella perrea sola (Wuh)
Ey, ey, ey, ey, ey, ey
Ella perrea sola
(Perrea sola, ella perrea sola, sola, sola)
Ey, ella perrea sola
Ey, ey, ey, ey, ey, ey
Ella perrea sola (Ella perrea sola)
Ella perrea sola

Tiene una amiga problemática
Y otra que casi ni habla (No)
Pero las tre' son una' diabla' (Prr)
Y hoy se puso minifalda
Los phillie' en las Louis Vuitton los guarda

Y me dice ""papi"" (
Papi, sigue; yes, yes
)
'Tá bien dura como Natti (Aah)
Borracha y loca, a ella no le importa (Woo)
Vamo' a perrear, la vida es corta, ey (Hoo)
Y me dice ""papi"" (Papi, sigue; yes, yes)
'Tá bien dura como Natti (Aah)
Despué' de las doce no se comporta (Ey)
Vamo' a perrear, la vida e' corta (Woo)

Ante' tú me pichaba' (Tú me pichaba')
Ahora yo picheo (Hmm, nah; loco)
Ante' tú no quería' (¿Pero cuándo yo dije eso?)
Ahora yo no quiero (Pero, pero; no)
Ante' tú me pichaba' (Nah)
Ahora yo picheo (Yo nunca te he picha'o, mami)
Ante' tú no quería' (Ay, Dio')
Ahora yo no quiero
No, tranqui

Yo perreo sola (Hmm, ey)
Yo perreo sola (Perreo sola; jaja; hmm-hmm)
Yo perreo sola (Jaja, hmm; ey)
Yo perreo sola (Perreo sola)"
Argentina,South America,5,"C.R.O: Bzrp Music Session, Vol. 29","Bizarrap, C.R.O","C.R.O: Bzrp Music Session, Vol. 29",0,2:26,0.65,"Y ahora me ven pasar
Y ahora me ven pasar
Yeh-eh-eh

Y ahora me ven pasar, voy por la ciudad
Quemando de esa mierda que te hace olvidar
No me puedo acostar, tanto que dar
Me llama tu aroma, tengo que contestar, yeh-eh

Cuatro noches que no puedo dormir (Yeh-yeh)
Van cuatro noches que estoy bebiendo aquí (Yeh-yeh)
Son cuatro noches esperando por ti (Yeh-yeh)
Nadie lo sabe, nadie lo sabe

Sé que no ves
Todo lo que tengo pa' ofrecer
Demasiado hielo pa' vender (Ice, ice)
Está brillando mi VVS

Yeh, tenemos Black Label (Oh, yeh)
Yeh, y mucho jarabe (Oh, yeh)
Yeh, voy con la MDB (Oh, yeh)
Todo el party está buscándome
Yeh, están buscándome
Saben que me encuentran cerca del amanecer
Ey, yo quería amarla pero no lo supo ver
Caigo en tus mentiras pero por última vez
Entonces voy, me bajo del avión
Me voy para otro show
Ahí no paro, fumo hasta que sale el sol
Si ya saben quién soy, me gritan ""C.R.O""
Siempre estoy por el barrio, barrio
G, solo por mis G's
Todas las esquinas 'tán buscando medicine
Que grite' mis negro' cuando me vaya a morir
Que siga la fiesta que yo no me voy a ir

Y ahora me ven pasar, voy por la ciudad
Quemando de esa mierda que te hace olvidar
No me puedo acostar, tanto que dar
Me llama tu aroma, tengo que contestar (Ice, ice)
Y ahora me ven pasar, voy por la ciudad
Quemando de esa mierda que te hace olvidar
No me puedo acostar, tanto que dar
Me llama tu aroma, tengo que contestar, yeh-yeh

Cuatro noches que no puedo dormir (Yeh-yeh)
Van cuatro noches que estoy bebiendo aquí (Yeh-yeh)
Son cuatro noches esperando por ti (Yeh-yeh)
Nadie lo sabe, nadie lo sabe

Y ahora me ven pasar
Y ahora me ven pasar
Yeh-eh-eh
Yeh-eh-eh"
Argentina,South America,6,Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",Elegí (feat. Dímelo Flow),0,3:17,0.65,"Qué bueno que te veo de nuevo, mi cielo (Mi cielo), eh
Sé que llamé primero pa' vernos, plus comernos
Yo no me olvido de ti (
Ti
), tú tampoco de mí (
Mí
)
Ay, dime quién se olvida (Rauw), del polvo de su vida (¡Yah!)

Yo no te elegí (¡Yah!), mi cama fue quien bregó ahí (Bregó ahí)
Tú llegaste aquí, no te escogí, yo te cogí (Oh; uh-uh)
Yo no te elegí, mi cama fue quien bregó ahí (Bregó ahí)
Tú llegaste aquí, no te escogí, yo te cogí (Ah; ah-ah)

(Ra-Rauw)
Me como a una, me como a tres
Pero ninguna me lo hace como es (Como e')
Tú eres testigo (Testigo, oh)
Tú naciste pa' chingar conmigo

Quédate el weekend entero (¡Yah!)
Enrolamos y fumamos primero (Prende)
La nota en el cielo (Oh-oh)
Y tú y yo en el suelo (Uh-yeh; uh-uh-uh)

Tú sola llegaste, yo no te invité
Tú no tienes límites
Ahora ponte, to' eso e' pa' mí, pa' mí
Sola te pusiste, yo no me quité
Yo te lo facilité y te lo llevaste gratis
¿Y ahora cómo olvido esa bellaquera?
Frente al espejo pa' que te viera
Una onza de krippy la noche entera
No eres la oficial, pero tampoco cualquiera, mami (Mami)
Yeih

Yo no te elegí (¡Yah!), mi cama fue quien bregó ahí (Bregó ahí)
Tú llegaste aquí, no te escogí, yo te cogí (Oh; oh-uh-uh)
Yo no te elegí, mi cama fue quien bregó ahí (Bregó ahí)
Tú llegaste aquí, no te escogí, yo te cogí (Ah; ah-ah)

(Yeah-yeah-yeah)
Si tú supieras qué me pasa cada vez que te veo
Quisiera confesarte que todavía tengo el video del bellaqueo, eh
Perdona que esté llamando, es que estoy borracho
¿Qué tal si nos encontramos? Yo te propongo
El mejor polvo de tu vida, ya vi en tu caption
Que estás solita y puede que pase

Quédate el weekend entero
Enrolamos y fumamos primero (Primero)
La nota en el cielo (Cielo)
Y tu panty en el suelo, baby

Qué bueno que te veo de nuevo, mi cielo (Eh)
Sé que llamé primero pa' vernos, plus comernos
Yo no me olvido de ti (Ti; 
ti
), tú tampoco de mí (
Mí
)
Ay, dime quién se olvida (Rauw), del polvo de su vida (Eh; ¡yah!)

Yo no te elegí (¡Yah!), mi cama fue quien bregó ahí (Bregó ahí)
Tú llegaste aquí, no te escogí, yo te cogí (Oh; oh-uh-uh)
Yo no te elegí, mi cama fue quien bregó ahí (Bregó ahí)
Tú llegaste aquí, no te escogí, yo te cogí (Ah; ah-ah)"
Argentina,South America,7,Rojo,J Balvin,Colores,0,2:30,0.65,"(Colores)
Yeah
J Balvin, man
Leggo, leggo

¿A quién le mientes si en tu soledad quieres verme otra ve'?
Por ti respondo lo que tú me das, lo que nadie sabe

Me decido por ti, te decides por mí a la misma hora
Me dan ganas de ti, te dan ganas de mí a la misma hora
Te quiero sentir aquí
Me dan ganas de ti, te dan ganas de mí a la misma hora

Tres y cuatro de la mañana (Yah)
Ven, mata estás gana’, vamo' a llegar a mi cama (Vamo')
Que todo lo he ignorado por ti, todo ha sido por ti (Yah)
Mi cuerpo sin saber te llama
Y estas no son horas de llamar (Ey)
Pero es que el deseo siempre puede más (Ey)
Podemos pelearnos y hasta alejarnos
Pero cuando llega la hora

Me decido por ti, te decides por mí a la misma hora
Me dan ganas de ti, te dan ganas de mí a la misma hora
Te quiero sentir aquí
Me dan ganas de ti, te dan ganas de mí a la misma hora

Tratan y se caen de la mata (Yah)
Quieren comprarte siempre con plata (Wuh)
Pero ese tesoro tiene pirata (Yeah-yeah)
Me voy a toda’ por ti
Tratan y se caen de la mata
Quieren comprarte siempre con plata
Pero ese tesoro tiene pirata (Wuh)
Yo doy la vida por ti (Yah)

Me decido por ti, te decides por mí a la misma hora
Me dan ganas de ti, te dan ganas de mí a la misma hora
Te quiero sentir aquí
Me dan ganas de ti, te dan ganas de mí a la misma hora

Taiko
J Balvin, man
Colores
Yah (Ah-ah)
Tú sabe' lo que yo hago por ti"
Argentina,South America,8,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55,0.65,"[Intro: Randy Nota Loca & 
Jowell
]
Bla, bla, bla, bla, bla, bla
Ey, yo, yo, yo
Yo, yo, yo, yo, yah
Lalalalalalala (Blow, blow)
Lalalalalalala

Diablo, qué safaera
Tú tiene' un culo cabrón
Cualquier cosa que te ponga' rompe la carretera (Lalalalala; aight)
Muévelo, muévelo, muévelo, muévelo (Lalalalalalala)
Qué safaera (Lalalalala)
Tiene' un culo cabrón
Cualquier cosa que te ponga' rompe la carretera (Aight; 
¡tra!
)
Muévelo, muévelo, muévelo, muévelo

Qué falta de respeto, mami
¿Cómo te atreve' a venir sin panty?
Hoy saliste puesta pa' mí
Yo que pensaba que venía a dormir, no
Vino ready ya, puesta pa' una cepillá'
Me chupa la lollipop, solita se arrodilla, hey
¿Cómo te atreve', mami, a venir sin panty?

Mera, dímelo, DJ Orma
¿Qué tú te cree'? Jodío' cabrón, jeje
Yo Hago Lo Que Me Da La Gana
Díselo, Conejo
Ey, ey (Jajajaja)
[Coro: Bad Bunny & 
Ñengo Flow
]
Hoy se bebe, hoy se gasta
Hoy se fuma como un rasta
Si Dio' lo permite (Si Dio' lo permite), ey
Si Dio' lo permite (Que si Dio' lo permite), ey
Hoy se bebe, hoy se gasta
Hoy se fuma como un rasta (Woo, woo, woo)
Si Dio' lo permite (Jajajajaja), ey
Si Dio' lo permite (Yo, yo), ey

Real G, orientando la' generacione' nueva', con la verdadera
Bellaqueo a lo galactic
Sí, pa' que se te mojen los panty
Métele bellaco a lo versátil
Má' puta que Betty Boop
La que se puso bellaca, mami, fuiste tú
Sigo matando con la U
Chocha con bicho, bicho con nalga (Empuja)
Cho-Chocha con bicho, bicho con nalga, sí (Empuja)
Chocha con bicho, bicho con nalga (Empuja)
Te-Teta' rozando mis tetilla' (Empuja)
Este año no quiero putilla' (Empuja)
Te ven con mucha' prenda' y te quieren pegar (Empuja)
Te ven bien activa'o y te quieren pegar (Empuja)
Porque está' bien buena, porque está' bien buena (
Empújamelo completo
)
Teta' bien grande' como Lourdes Chacón
Las nalga' bien grande' como Iris Chacón
La chocha no sé porque no la he visto
Pero vamo' pa' la cama a clavarte en panty

Hoy se bebe, hoy se gasta
Hoy se fuma como un rasta
Si Dio' lo permite
Si Dio' lo permite, yeah-yeah
Y hoy se bebe, hoy se gasta
Hoy se fuma como un rasta
Si Dio' lo permite
Si Dio' lo permite (-te, -te, -te, -te, -te, -te)
[Verso 3: Randy Nota Loca, 
Bad Bunny
 & 
Baby Ranks]
(¡Arr-ugh!)
Mami, ¿qué tú quiere'? Aquí llegó tu tiburón
Yo quiero perrearte y fumarme un blunt
Ver lo que esconde ese pantalón
Yo quiero perrearte y perrearte y perrearte (Duro, duro)
Yo-Yo-Yo quiero perrearte y fumarme un blunt (Duro, duro)
Yo quiero perrearte y perrearte y perrear (Duro, duro)
Yo-Yo-Yo quiero perrearte y fumarme un blunt, -me un blunt (Duro, duro)
La rola ya me explotó
La nena bailando se botó
Ese culo se merece to', se merece to', se merece to', yes
Ese culo se merece to', se merece to', se merece to' (Ey, ey, ey, ey, ey)

¡Ah! Yo pensaba que se ponía lenta
'Tá bien, 'tá bien, vamo' de nuevo, de nuevo
Velen a Orma, velen a Orma que está bellaco
Jajajaja (Jajajaja, jajajaja)

Mi bicho anda fuga'o y yo quiero que tú me lo esconda'
Agárralo como bonga
Se mete una pepa que la pone cachonda
Chinga en lo' Audi, no en lo' Honda, ey (
Tra
)
Si te lo meto no me llame' (Tra, tra)
Que esto no e' pa' que me ame', ey (Tra, tra)
Si tu novio no te mama el culo
Pa' eso que no mame

Baja pa' casa que yo te lambo to'a
Mami, yo te lambo to'a
Baja pa' casa que yo te rompo to'a, ey
Que yo te rompo to'a
Baja pa' casa que yo te lambo to'a (¡Papi, sigue!)
Mami, yo te lambo to'a (¡Papi, sigue!)
Dime, sierva (
Papi, sigue
)
Si tú fuma' yerba (
Papi, pa-papi
)

Jowell, bebé, bebé, bebé, jaja, ¡jajajajaja!
Perreando e' la bichota (¡Duro!)
Se ve que chinga rico en la nota
Yo quiero tirarme un selfie con esa' nalgota' (Tra, tra; wow)
Para'o, para'o, para'o lo tengo, se me nota (Woh, woh)
¿Qué vamo' a hacer con esa' nalgota'? (What?)
En la uni to'a son A, A, A (Tra)
Pero esa' teta' son C
Tú ere' una superbellaca (Wuh), mami, yo lo sé (Eh)
Yo también soy un bellaco (Tra), ¿qué vamo' a hacer? (Tú sabe', eh)
Con ese bum-bum, guíllate, bum-bum
Guíllate ese bum-bum, guíllate, bum-bum
Si tiene' ese bum-bum, guíllate, bum-bum
Si tiene' ese bum-bum, guíllate, ¡buoh!"
Argentina,South America,9,Tattoo,Rauw Alejandro,Tattoo,0,3:22,0.65,"Tú está' pa' comerte to'a toíta, así está' tú
Te ves tan rica, esa carita y ese tattoo
Ay, hace que la nota nunca se baje
No hace falta nada si estás tú (Ra-Rauw)

Yo no sé ni qué hacer cuando estoy cerca de ti (Uh, wuh)
Tus ojos color café se apoderaron de mí (Yih)
Muero por un beso de esos que no son de amigos (Ey)
Me di cuenta que por esa sonrisa yo vivo (¡Yah!)
Cuando cae la noche siempre me tira (Wouh)
Le digo los plane', y si la busco de una se activa (Wuh)
Tráete la ropa, si tarde se acaba el party (Jaja)
Yo te dejo un ladito aquí conmigo, yeah (¡Yah!)

Tú está' pa' comerte to'a toíta, así está' tú
Te ves tan rica, esa carita y ese tattoo
Ay, hace que la nota nunca se baje
No hace falta nada si estás tú, uoh (Uoh, oh-oh), yeah, eh
Tú está' pa' comerte to'a toíta, así está' tú (Oh-yeah)
Te ves tan rica, esa carita y ese tattoo
Ay, hace que la nota nunca se baje
No hace falta nada si estás tú (No hace falta nada, bebé)

(Dice, ey)
Ven, que yo no quiero a más nadie (Uh, wuh)
Que no seas tú en mi cama (Hah)
Baby, cuando te despiertes
Levántame antes que te vaya' (Ey)
Solo tu boca es lo que desayuno (Muah)
Siempre aprovecho el momento oportuno (Yuh)
Como yo no hay ninguno
Déjame ser tu número uno, baby (¡Yah!)

Tú está' pa' comerte to'a toíta, así está' tú (Uh, uh)
Te ves tan rica, esa carita y ese tattoo (Ay)
Ay, hace que la nota nunca se baje
No hace falta nada si estás tú (Ah-ah, yeah)
Tú está' pa' comerte to'a toíta, así está' tú (Oh-yeah)
Te ves tan rica, esa carita y ese tattoo
Ay, hace que la nota nunca se baje
No hace falta nada si estás tú (No hace falta nada, bebé)

Yeah
Ra-Rauw Alejandro
Colla
Con lo' Honeyboos
Duars Entertainment
Con Los Sensei
Mr. Naisgai
Oh, yeah-yeah
Baby, baby (Yeah)"
Argentina,South America,10,Inolvidable,"Ovy On The Drums, Beéle",Inolvidable,0,3:45,0.65,"(Ignorame to' lo que pueda’
E' Beéle, eh)
O-O-Ovy On The Drums

Ignórame to' lo que pueda’, pero de ninguna manera
Podrás olvidarte de to' lo que hicimo' aquella luna llena
Ay, mami, tú no podrás olvidarte de mí
Por todo lo que sabe' tú, por todo lo que pienso en ti, yeah

Para nadie es un secreto, que
Que somo' el uno para el otro
Yo me paso to' el día pensando en ti
Si no respondes, me vuelvo loco
Mami, nosotros peleamo' por estupidece' siempre, yeah
Al final nos arreglamos y seguimo’ con nuestra relación titulada
""Amore’ demente'"", nuestra historia crece
Tú eres loca, yo soy loco, qué más quiere’, qué más quiero yo
Si contigo encontré el amor, peleamos a veces, pero somos do'
Loco, loco, me la paso si no está' aquí
Si tú no estás, bebecita, yo no soy feli'

Ignórame to’ lo que pueda', pero de ninguna manera
Podrás olvidarte de todo lo que hicimo' aquella luna llena
Ay mami, tú no podrás olvidarte de mí
Por todo lo que sabe' tú, por todo lo que pienso en ti, yeah

Eres la magia, luz que me calma
Tú ere' una diosa, tú te vas y me haces falta
Cada momento contigo lo disfruto, no lo olvido
Por más que pase el tiempo, girl, tu amor es mi castigo, yeah

Yo no sé qué me pasa
Me vuelvo loco si te miro y no me abraza'
Mi cora está resentí'o si tú no me besa'
Es tan claro el ejemplo de que me hace' falta, yeah, yaih, yeah
Yo-Yo-Yo, yo no sé qué me pasa
Me vuelvo loco si te miro y no me abraza'
Mi cora está resentí'o si tú no me besa'
Es tan claro el ejemplo de que me hace' falta, girl, ay, yeah

Uh, yeah
Yeah, eh, eh
Uh, uh-uh, ah-ah-ah, ah-ah-ah

Ignórame to' lo que pueda', pero de ninguna manera
Podrás olvidarte de todo lo que hicimo' aquella luna llena
Ay mami, tú no podrás olvidarte de mí
Por todo lo que sabe' tú, por todo lo que pienso en ti, yeah

Yeah, eh
El sentimiento se hace grande cuando nunca se olvida, ah-ah, ah
Beéle, eh-eh, yeah
Ovy On The Drums, On The Drums, On The Drums, eh
Yeah, eh, eh
Beéle
Yeah
The KristoMan, ah
Y el Súper Da-Dakis"
